id,upc,title,price,shape,carat,color,clarity,cut,report,origin,polish,symmetry,measurements,depth,table,fluorescence,certificate_number,receive_by,collection,length_width_ratio,real_diamond_image,has_v360_video,shipping_day
35026813,10091904AB,1.30 Carat Round Diamond,5800,Round,1.3,G,VS1,Super Ideal,HRD,Botswana Sort,Excellent,Excellent,6.94 x 6.89 x 4.32,62.4,58,None,240000231165,"Wednesday, March 12",Recommended,1.0,True,True,3
40016619,11450543AY,0.43 Carat Round Diamond,1200,Round,0.43,E,IF,Super Ideal,GIA,Botswana Sort,Excellent,Excellent,4.85 x 4.84 x 2.99,61.6,58,None,7498505813,"Thursday, March 20",Glacier,1.0,True,True,9
39702092,13152084A,1.50 Carat Round Diamond,6590,Round,1.5,H,VS2,Super Ideal,HRD,Botswana Sort,Excellent,Excellent,7.29 x 7.24 x 4.53,62.3,58,None,250000033754,"Thursday, March 20",Yosemite,1.0,True,True,9
32626055,11619592B,0.50 Carat Oval Diamond,1130,Oval,0.5,F,VS1,Ideal,GIA,Canada,Excellent,Excellent,5.92 x 4.38 x 2.89,66.0,58,None,1495851978,"Wednesday, March 12",Recommended,1.35,True,True,3
39233828,13058916Y,1.00 Carat Oval Diamond,4080,Oval,1.0,F,VS2,Ideal,GIA,Canada,Excellent,Very Good,7.47 x 5.64 x 3.66,64.8,62,None,2516144258,"Friday, March 14",Glacier,1.32,True,True,5
40305620,12269015A,2.01 Carat Oval Diamond,6010,Oval,2.01,I,SI2,Ideal,HRD,Botswana Sort,Excellent,Very Good,9.79 x 7.28 x 4.42,60.7,57,None,230000067716,"Monday, March 24",,1.34,True,True,11
39197805,8859141A,1.01 Carat Emerald Diamond,2710,Emerald,1.01,H,IF,Super Ideal,HRD,Botswana Sort,Excellent,Excellent,6.59 x 4.78 x 3.24,67.8,63,None,240000162332,"Thursday, March 20",,1.38,True,True,9
23383277,8373841AB,1.01 Carat Emerald Diamond,3490,Emerald,1.01,E,VS1,Ideal,GIA,Canada,Excellent,Excellent,6.40 x 4.74 x 3.35,70.8,65,None,6475676028,"Wednesday, March 12",Recommended,1.35,True,True,3
39208993,10565596A,1.02 Carat Cushion Diamond,2680,Cushion,1.02,H,VS1,Super Ideal,GIA,Botswana Sort,Excellent,Excellent,5.71 x 5.62 x 3.77,67.0,64,None,2235313860,"Thursday, March 20",Yosemite,1.02,True,True,9
39730643,13156547A,1.00 Carat Cushion Diamond,2600,Cushion,1.0,F,VS2,Super Ideal,GIA,Canada,Excellent,Excellent,5.81 x 5.58 x 3.72,66.6,65,None,7513432204,"Thursday, March 20",Glacier,1.04,True,True,9
